,pH,sulphates,alcohol,quality,pH_cat,alcohol_cat,alcohol_kmeans,sulphates_cat
178,3.48,0.56,9.6,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
179,3.19,0.59,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
180,3.19,0.59,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
181,3.12,1.02,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.945, 1.047]"
182,3.44,0.52,9.3,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
183,3.54,0.58,9.3,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
184,3.52,0.58,9.3,6,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
185,3.26,0.53,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
186,3.34,0.55,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
187,3.39,0.49,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
188,3.2,0.55,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
189,3.2,0.55,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
190,3.23,0.62,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
191,3.57,0.62,9.8,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
192,3.28,0.61,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
193,3.28,0.55,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
194,3.28,0.55,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
195,3.25,0.54,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
196,3.46,0.59,10.2,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
197,3.11,0.97,10.1,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
198,3.57,0.85,13.0,7,"(3.394, 3.572]","(12.857, 13.6]",6.0,"(0.842, 0.945]"
199,3.51,0.43,11.4,4,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.33, 0.432]"
200,3.22,0.82,10.3,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
201,3.04,1.03,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.945, 1.047]"
202,3.36,0.79,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
203,3.34,0.55,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
204,3.34,0.56,9.2,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
205,3.2,0.77,10.8,7,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
206,3.2,0.77,10.8,7,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
207,3.29,0.53,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
208,3.22,0.67,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
209,3.31,0.88,10.5,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
210,3.3,0.86,12.4,6,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.842, 0.945]"
211,3.35,0.56,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
212,3.21,0.67,10.2,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
213,3.3,0.43,10.1,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.33, 0.432]"
214,3.24,0.71,9.8,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
215,3.34,0.76,10.5,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
216,3.14,0.57,11.0,5,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
217,3.36,0.55,9.1,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
218,3.39,0.54,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
219,3.3,0.6,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
220,3.34,0.59,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
221,3.15,0.57,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
222,3.42,0.6,9.5,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
223,3.28,0.6,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
224,3.31,0.57,10.4,4,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
225,3.37,0.58,10.5,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
227,3.39,0.63,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
228,3.37,0.58,10.5,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
229,3.46,0.5,11.0,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
230,3.54,0.62,12.2,7,"(3.394, 3.572]","(12.114, 12.857]",5.0,"(0.535, 0.638]"
231,3.37,0.52,9.9,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
232,3.34,0.7,9.6,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
233,3.46,0.5,11.0,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
234,3.32,0.55,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
235,3.37,0.58,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
236,3.37,0.58,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
237,3.37,0.58,9.2,6,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
238,3.37,0.58,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
239,3.32,0.55,9.0,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
240,3.0,1.09,9.3,5,"(2.86, 3.038]","(9.143, 9.886]",0.0,"(1.047, 1.15]"
241,3.14,0.71,10.9,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
242,3.08,0.49,9.8,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
243,3.07,0.84,9.2,7,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.74, 0.842]"
244,3.07,0.84,9.2,7,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.74, 0.842]"
245,3.61,0.96,9.9,6,"(3.572, 3.75]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
246,3.38,0.52,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
247,3.2,0.45,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
248,3.35,0.48,9.8,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
249,3.61,0.96,9.9,6,"(3.572, 3.75]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
250,3.22,0.78,10.0,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
251,3.47,0.7,9.9,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
252,3.17,0.53,10.5,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
253,3.23,0.59,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
254,3.47,0.7,9.9,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
255,3.26,0.57,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
256,3.22,0.62,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
257,3.49,0.67,9.2,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
259,3.36,0.8,10.5,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
260,3.29,0.65,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
261,3.35,0.6,9.4,4,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
262,3.34,0.57,10.0,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
263,3.28,0.67,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
264,3.08,0.87,10.9,5,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.842, 0.945]"
